,non_missing,non_missing,non_missing,missing,missing,missing,missing_pct,missing_pct,missing_pct,total
,soil_temp_5cm,tsmoisture,merged_flux,soil_temp_5cm,tsmoisture,merged_flux,soil_temp_5cm,tsmoisture,merged_flux,0
siteid,,,,,,,,,,
Dobroc,2120,2319,2801,760,561,79,26.4,19.5,2.7,2880
Dumbravita,6799,6359,6799,0,440,0,0.0,6.5,0.0,6799
Gamiz,2448,2568,3560,1113,993,1,31.3,27.9,0.0,3561
Karstula,5138,0,2207,0,5138,2931,0.0,100.0,57.0,5138
Kelheim-Parsberg,0,0,748,778,778,30,100.0,100.0,3.9,778
Kranzberg-Freising,0,0,0,1018,1018,1018,100.0,100.0,100.0,1018
Kroondomein,60,0,59,0,60,1,0.0,100.0,1.7,60
Llobera,2864,2439,3617,753,1178,0,20.8,32.6,0.0,3617
NP Hoge Veluwe,40,0,40,0,40,0,0.0,100.0,0.0,40
Ränskälänkorpi,3521,0,2852,996,4517,1665,22.1,100.0,36.9,4517
Saint Mitre,0,0,2730,2794,2794,64,100.0,100.0,2.3,2794
Secanella,3034,2771,4030,996,1259,0,24.7,31.2,0.0,4030
St Christol,1193,0,1446,283,1476,30,19.2,100.0,2.0,1476
Wasserburg-Maitenbeth,0,0,0,800,800,800,100.0,100.0,100.0,800
Zwolse Bos,120,0,120,0,120,0,0.0,100.0,0.0,120
